sku,name,description,brand,category,cost_usd
AN-110-RT-2L1W,Araknis Networks 110 Series Single-WAN Gigabit VPN Router,[AN-110-RT-2L1W] Araknis Networks 110 Series Single-WAN Gigabit VPN Router,Araknis,Redes,282.23
AN-110-RT-2L1W-WIFI,Araknis Networks 110 Series Single-WAN Gigabit VPN Router with Wi-Fi,[AN-110-RT-2L1W-WIFI] Araknis Networks 110 Series Single-WAN Gigabit VPN Router with Wi-Fi,Araknis,Redes,371.9
AN-110-SW-C-16P,Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch 16P,[AN-110-SW-C-16P] Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch 16P,Araknis,Redes,398.36
AN-110-SW-C-5,Araknis Networks 110 Series Unmanaged+ Gigabit Switch - Compact Design,[AN-110-SW-C-5] Araknis Networks 110 Series Unmanaged+ Gigabit Switch - Compact Design,Araknis,Redes,89.66
AN-110-SW-C-5P,Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch 5P,[AN-110-SW-C-5P] Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch 5P,Araknis,Redes,164.63
AN-110-SW-C-8P,Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch 8P,[AN-110-SW-C-8P] Araknis Networks 110 Series Unmanaged+ Gigabit Compact Switch 8P,Araknis,Redes,282.23
AN-110-SW-F-16,Araknis Networks 110 Series Unmanaged+ Gigabit Switch 16 Front Ports,[AN-110-SW-F-16] Araknis Networks 110 Series Unmanaged+ Gigabit Switch 16 Front Ports,Araknis,Redes,291.05
AN-110-SW-F-24,Araknis Networks 110 Series Unmanaged + Gigabit Switch 24 Front Ports,[AN-110-SW-F-24] Araknis Networks 110 Series Unmanaged + Gigabit Switch 24 Front Ports,Araknis,Redes,380.72
AN-110-SW-F-8,Araknis Networks 110 Series Unmanaged+ Gigabit Switch 8 Front Ports,[AN-110-SW-F-8] Araknis Networks 110 Series Unmanaged+ Gigabit Switch 8 Front Ports,Araknis,Redes,133.76
AN-110-SW-R-16,Araknis Networks 110 Series Unmanaged+ Gigabit Switch with Rear Ports,[AN-110-SW-R-16] Araknis Networks 110 Series Unmanaged+ Gigabit Switch with Rear Ports,Araknis,Redes,291.05
AN-110-SW-R-24,Araknis Networks 110 Series Unmanaged + Gigabit Switch with Rear Ports,[AN-110-SW-R-24] Araknis Networks 110 Series Unmanaged + Gigabit Switch with Rear Ports,Araknis,Redes,382.65
AN-110-SW-R-8,Araknis Networks 110 Series Unmanaged + Gigabit Switch 8 Rear Ports,[AN-110-SW-R-8] Araknis Networks 110 Series Unmanaged + Gigabit Switch 8 Rear Ports,Araknis,Redes,133.76
AN-210-SW-C-8-POE,Networks 210 Series Websmart Gigabit Switch with Compact Design and Partial PoE+ 8 Ports,[AN-210-SW-C-8-POE] Networks 210 Series Websmart Gigabit Switch with Compact Design and Partial PoE+ 8 Ports,Araknis,Redes,505.67
AN-210-SW-F-16-POE,Switch Networks 210 Series Websmart Gigabit with Partial PoE+ and Rear Ports,[AN-210-SW-F-16-POE] Switch Networks 210 Series Websmart Gigabit with Partial PoE+ and Rear Ports,Araknis,Redes,631.39
AN-210-SW-F-8-POE,Araknis Networks Switch Networks 210 Series Websmart Gigabit with Partial PoE+ 8 + 2 Front Ports,[AN-210-SW-F-8-POE] Araknis Networks Switch Networks 210 Series Websmart Gigabit with Partial PoE+ 8 + 2 Front Ports,Araknis,Redes,377.99
AN-210-SW-R-16-POE,Networks 210 Series Websmart Gigabit Switch with Partial PoE+16 + 2 Rear Ports,[AN-210-SW-R-16-POE] Networks 210 Series Websmart Gigabit Switch with Partial PoE+16 + 2 Rear Ports,Araknis,Redes,631.39
