sku,image_url,source_product
Shelly wall Display X1,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Wall-Display-X1i-Black_main-image.png?v=1781703296,Shelly Wall Display X1i
Shelly Table Stand,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Wall-Display-Stand-White-main-image.png?v=1746789800,Shelly Wall Display Stand List
Shelly Wall Display X2,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/shelly-Wall-Display_Black_main_image.png?v=1763111865,Shelly Wall Display X2i List
Plus Wall Dimmer,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/plus-wall-dimmer.png?v=1762463630,Shelly Plus Wall Dimmer
Smart Security Bundle,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Smart-Security-Bundle-main-image.png?v=1727260150,Shelly Smart Security Bundle
Smart Security Bundle XL,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Smart-Security-Bundle-XL-main-image.png?v=1727260150,Shelly Smart Security Bundle XL
1 Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-1-Gen3-main-image.png?v=1727260149,Shelly 1 Gen3 List
1 Mini Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-1-Mini-Gen3-main-image.png?v=1727260608,Shelly 1 Mini Gen3 List
1PM Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-1PM-Gen3-main-image.png?v=1727260149,Shelly 1PM Gen3
1PM Mini Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-1PM-Mini-Gen3-main-image.png?v=1727260609,Shelly 1PM Mini Gen3
2PM Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-2PM-Gen3-main-image.png?v=1727359896,Shelly 2PM Gen3 List
Dali Dimmer,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Dali-Dimmer-Gen3-main-image.png?v=1728234372,Shelly DALI Dimmer Gen3
Dimmer Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Dimmer-Gen3-main-image.png?v=1749627148,Shelly Dimmer Gen3
i4 Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-i4-Gen3-main-image.png?v=1727297295,Shelly i4 Gen3
Dimmer 0/1-10V PM Gen 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Dimmer-01-10V-PM-Gen3-main-image.png?v=1727260149,Shelly Dimmer  0/1-10V PM Gen3
Dimmer2-1,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Dimmer2-main-image.png?v=1727296875,Shelly Dimmer2
Plus 0-10V Dimmer,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Plus-0-10V-Dimmer-main-image.png?v=1727260149,Shelly Plus 0-10V Dimmer
Plus 1-1 UL,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Plus-1-main-image_6f2256f7-2416-4b82-8ee8-01490ecbc200.png?v=1762463600,Shelly Plus 1 UL-Certified
Plus 1 PM-1 UL,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Plus-1PM-main-image_21c07c0e-dd86-4939-9168-1e167483f4c4.png?v=1762463618,Shelly Plus 1PM UL
Plus 2 PM-1 UL,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Plus-2PM-main-image_1264e2a7-ea4c-460f-af7c-a003688a67cb.png?v=1762463546,Shelly Plus 2PM
Plus i4 -1 CE,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Plus-i4-main-image_69deccb8-8011-47a8-ad31-5a2241eb2d71.png?v=1762463609,Shelly Plus i4 UL
Plus i4-1 UL,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Plus-i4-main-image_69deccb8-8011-47a8-ad31-5a2241eb2d71.png?v=1762463609,Shelly Plus i4 UL
Plus i4 DC,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Plus-i4-DC-main-image.png?v=1727260149,Shelly Plus i4 DC
Plus RGBW PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-RGBW-PM-main-image.png?v=1727857021,Shelly Plus RGBW PM
RGBW2-1,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-RGBW2-main-image.png?v=1727260149,Shelly RGBW2
RGBW2-2,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-RGBW2-main-image.png?v=1727260149,Shelly RGBW2
Plus UNI,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Plus-Uni-main-image.png?v=1740386396,Shelly Plus Uni
Plus Addon,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Plus-AddOn-main-image.png?v=1727260149,Shelly Plus Add-on
Pro 1,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-1-main-image.png?v=1727260149,Shelly Pro 1
Pro 1PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-1PM-main-image.png?v=1727260149,Shelly Pro 1PM
Pro 2,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-2-main-image.png?v=1727260148,Shelly Pro 2
Pro 2PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-2PM-main-image.png?v=1727260149,Shelly Pro 2PM
Pro 3,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-3-main-image.png?v=1727260149,Shelly Pro 3
Pro 4 PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-4PM-main-image.png?v=1749538954,Shelly Pro 4PM
Pro Dual Cover,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-Dual-Cover-Shutter-main-image.png?v=1727260148,Shelly Pro Dual Cover / Shutter PM
Pro Dimmer 0/1-10V PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-Dimmer-0-1-10V-PM-main-image.png?v=1728220540,Shelly Pro Dimmer 0/1-10V PM
Pro Dimmer 1PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-Dimmer-1PM-main-image.png?v=1727358911,Shelly Pro Dimmer 1PM
Pro Dimmer 2PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-Dimmer-2PM-main-image.png?v=1727358911,Shelly Pro Dimmer 2PM
Pro LAN Switch,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-LAN-Switch-main-image.png?v=1727260150,Shelly LAN Switch
Pro RGBW PM,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Pro-RGBWW-PM-main-image.png?v=1734563380,Shelly Pro RGBWW PM
IP1084GraySwithD,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/20230130_143357.webp?v=1762463636,Shelly - IP66 1084 Gray Swith Din
Wave Plug LR US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-Plug-US-main-image_82c405ef-e18c-48e2-b9d7-f16a83c5ccb4.png?v=1762463632,Shelly Wave Plug LR
Wave 1 LR UL US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-1-Gen4-main-image_22a1fbfc-0f1c-4756-8fab-e9dc8518302b.png?v=1762463653,Shelly Wave 1 LR
Wave 1 Mini LR US,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Wave-1-Mini-EU-LR-main-image.png?v=1755074598,Shelly Wave 1 Mini LR
Wave 1PM LR UL US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-1PM-USLR-main-image.png?v=1762463653,Shelly Wave 1PM LR
Wave 1PM Mini LR US,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Wave-1PM-EU-LR-main-image.png?v=1753864033,Shelly Wave 1PM Mini LR
Wave 2PM LR UL US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-2PM-USLR-main-image.png?v=1762463654,Shelly Wave 2PM LR
Wave Dimmer LR US,https://cdn.shopify.com/s/files/1/0871/9967/8813/files/Shelly-Wave-Dimmer-LR-main-image_86dcb4bf-25ae-426c-8726-1ff7ab6202a1.png?v=1747116460,Shelly Wave Dimmer EU LR
Wave Door Window LR US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly_Wave_DoorWindow_EU_LR-main-image_3390b24e-1f57-4f00-82c4-6663aa76920a.png?v=1762768728,Shelly Wave Door/Window LR
Wave H&T LR White US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-H_T-US-LR-main-image.png?v=1762463673,Shelly Wave H&T LR
Wave i4 LR US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-i4-USLR-main-image_4869f46f-7d53-4e5a-9025-b572b843321f.png?v=1762463668,Shelly Wave i4 LR
Wave i4 DC LR US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-i4DC-USLR-main-image.png?v=1762463668,Shelly Wave i4 DC LR
Wave Motion LR US,https://cdn.shopify.com/s/files/1/0887/9941/2565/files/Shelly-Wave-Motion-EULR-main-image.png?v=1762463661,Shelly Wave Motion LR
