brand,sku,name,cost_usd
Shelly,Plus Plug US-1,Shelly Plus US Plug 1 pack,
Shelly,Shelly wall Display X1,ShellyTouch-sensitive 4” color display,191
Shelly,Shelly Table Stand,Shelly Table Stand,
Shelly,Shelly Wall Display X2,Shelly Touch-sensitive 6.95” color display,
Shelly,Plus Wall Dimmer,Shelly Plus Wall Dimmer,32.66
Shelly,Smart Security Bundle,Shelly Smart Security Bundle,113.42
Shelly,Smart Security Bundle XL,Shelly Smart Security Bundle XL,153.11
Shelly,1 Gen 3,Shelly 1 Gen 3 Non UL 1 pack,23
Shelly,1 Mini Gen 3,Shelly 1 Mini Gen 3 NON UL 1 pack,18
Shelly,1PM Gen 3,Shelly 1PM Gen 3 Non UL 1 pack,32.77
Shelly,1PM Mini Gen 3,Shelly 1PM Mini Gen 3 NON UL 1 pack,16.5
Shelly,2PM Gen 3,Shelly 2PM Gen 3 Non UL 1 pack,35
Shelly,Dali Dimmer,Shelly Dali Dimmer,50
Shelly,Dimmer Gen 3,Shelly Dimmer Gen3,40
Shelly,i4 Gen 3,Shelly i4 Gen 3 Non UL 1 pack,
Shelly,Dimmer 0/1-10V PM Gen 3,Shelly 0/1-10V PM Dimmer Gen 3 1 pack,
Shelly,Dimmer2-1,Shelly Dimmer2 1 pack,32
Shelly,Plus 0-10V Dimmer,Shelly Plus 0-10V Dimmer NON UL 1 pack,26.38
Shelly,Plus 1-1 UL,Shelly Plus 1 UL 1 pack,21
Shelly,Plus 1 PM-1 UL,Shelly Plus 1 PM UL 1 pack,24
Shelly,Plus 2 PM-1 UL,Shelly Plus 2 PM UL 1 pack,25
Shelly,Plus i4 -1 CE,Shelly Plus i4 CE,
Shelly,Plus i4-1 UL,Shelly Plus I4 UL,16
Shelly,Plus i4 DC,Shelly Plus I4 DC,16
Shelly,Plus RGBW PM,Shelly Plus RGBW PM 1 pack,29.26
Shelly,RGBW2-1,Shelly Plus RGBW2-1,58.53
Shelly,RGBW2-2,Shelly Plus RGBW2-2,38
Shelly,Plus UNI,Shelly Plus UNI,22
Shelly,Plus Addon,Shelly Plus Addon,19
Shelly,Pro 1,Shelly Pro 1 UL,66
Shelly,Pro 1PM,Shelly Pro 1PM UL,80
Shelly,Pro 2,Shelly Pro 2 UL,82
Shelly,Pro 2PM,Shelly Pro 2PM UL,91
Shelly,Pro 3,Shelly Pro 3,96
Shelly,Pro 4 PM,Shelly Pro 4 PM,120
Shelly,Pro Dual Cover,Shelly Dual Cover,110
Shelly,Pro Dimmer 0/1-10V PM,Shelly Pro Dimmer 0/1-10V PM,90
Shelly,Pro Dimmer 1PM,Shelly Pro Dimmer 1PM,75
Shelly,Pro Dimmer 2PM,Shelly Pro Dimmer 2PM,87
Shelly,Pro LAN Switch,Shelly Pro LAN Switch,
Shelly,Pro RGBW PM,Shelly Pro RGBW PM,
Shelly,IP1084GraySwithD,Shelly IP661084 Gray Enclosure w/ din,
Shelly,Wave Plug LR US,Shelly Wave Plug LR US,
Shelly,Wave 1 LR UL US,Shelly Wave 1 LR UL US,
Shelly,Wave 1 Mini LR US,Shelly Wave 1 Mini LR US,
Shelly,Wave 1PM LR UL US,Shelly Wave 1 PM LR UL US,
Shelly,Wave 1PM Mini LR US,Shelly Wave 1PM Mini LR US,
Shelly,Wave 2PM LR UL US,Shelly Wave 2PM LR UL US,
Shelly,Wave Dimmer LR US,Shelly Wave Dimmer LR US,
Shelly,Wave Door Window LR US,Shelly Wave Door Window LR US,
Shelly,Wave H&T LR White US,Shelly Wave H&T LR White US,
Shelly,Wave i4 LR US,Shelly Wave i4 LR US,
Shelly,Wave i4 DC LR US,Shelly Wave i4 DC LR US,
Shelly,Wave Motion LR US,Shelly Wave Motion LR US,
Shelly,Wave PM Mini LR US,Shelly Wave PM Mini LR US,
Shelly,Wave Shutter UL US,Shelly Wave Shutter UL US,
Shelly,Wave Pro 1 LR US,Shelly Wave Pro 1 LR US,
Shelly,Wave Pro 1PM LR US,Shelly Wave Pro 1PM LR US,
Shelly,Wave Pro 2 LR US,Shelly Wave Pro 2 LR US,
Shelly,Wave Pro 2PM LR US,Shelly Wave Pro 2PM LR US,
Shelly,Wave Pro 3 LR US,Shelly Wave Pro 3 LR US,
Shelly,Wave Pro Dimmer 1PM,Shelly Wave Pro Dimmer 1PM US,
Shelly,Wave Pro Dimmer 2PM,Shelly Wave Pro Dimmer 2PM US,
Shelly,Wave Pro Shutter LR US,Shelly Wave Pro Shutter LR US,
Shelly,EM,Shelly EM,68.1
Shelly,EM Gen 3,Shelly EM Gen 3,
Shelly,CT50,Shelly 50 Amp Current Transformer,14.96
Shelly,CT120,Shelly 120 Amp Current Transformer,19.73
Shelly,PM Mini Gen 3,Shelly PM Mini Gen 3 NON UL 1 pack,
Shelly,Pro 3EM-120,Shelly Pro 3EM-120,149.99
Shelly,Pro 3EM-3CT63,Shelly Pro 3EM-3CT63,
Shelly,Pro 3EM-400,Shelly Pro 3EM-400 clamps,280
Shelly,Pro 3EM Switch Add-on,Shelly Pro 3EM Switch Add-on,
Shelly,Pro EM-50,Shelly Pro EM - 50A (with 2 50A CT),
Shelly,BLU Door Window Black,Shelly BLU Door Window Black,20.31
Shelly,BLU Door Window Brown,Shelly BLU Door Window Brown,20.31
Shelly,BLU Door Window White,Shelly BLU Door Window White,20.31
Shelly,BLU H&T Black,Shelly BLU H&T Black,28.1
Shelly,BLU H&T Ivory,Shelly BLU H&T Ivory,28.1
Shelly,BLU H&T Mocha,Shelly BLU H&T Mocha,28.1
Shelly,BLU Motion,Shelly BLU Motion,27.22
Shelly,BLU TRV,Shelly BLU TRV with Gateway,
Shelly,Flood-1,Shelly Flood detector 1 pack,28.38
Shelly,Gas CNG,Shelly Gas CNG detector,64.94
Shelly,Gas LPG,Shelly Gas LPG detector,64.94
Shelly,Gen 3 H&T Black,Shelly Gen 3 H&T Black,34.95
Shelly,Gen 3 H&T Ivory,Shelly Gen 3 H&T Ivory,34.95
Shelly,Gen 3 H&T Mocha,Shelly Gen 3 H&T Mocha,34.95
Shelly,Gen 3 H&T White,Shelly Gen 3 H&T White,34.95
